CUPS:,ESXXXXXXXXXXXXXX
Fecha inicio:,dd/mm/yyyy
Fecha fin:,dd/mm/yyyy
Fecha y hora de extracción:,dd/mm/yyyy hh:mm:ss
Tarifa:,One luz xxxx

Fecha,Hora,Consumo (Wh),Precio (€/kWh),Coste por hora (€)
2021-06-08,20:00-21:00,302,0,0
2021-06-08,21:00-22:00,318,0,0
2021-06-08,22:00-23:00,305,0,0
2021-06-08,23:00-00:00,113,0,0

2021-06-09,00:00-01:00,157,0,0
2021-06-09,01:00-02:00,379,0,0
2021-06-09,02:00-03:00,179,0,0
2021-06-09,03:00-04:00,228,0,0
2021-06-09,04:00-05:00,388,0,0
2021-06-09,05:00-06:00,77,0,0
2021-06-09,06:00-07:00,374,0,0
2021-06-09,07:00-08:00,509,0,0
2021-06-09,08:00-09:00,1299,0,0
2021-06-09,09:00-10:00,477,0,0
2021-06-09,10:00-11:00,265,0,0
2021-06-09,11:00-12:00,1416,0,0
2021-06-09,12:00-13:00,705,0,0
2021-06-09,13:00-14:00,381,0,0
2021-06-09,14:00-15:00,337,0,0
2021-06-09,15:00-16:00,342,0,0
2021-06-09,16:00-17:00,360,0,0
2021-06-09,17:00-18:00,343,0,0
2021-06-09,18:00-19:00,615,0,0
2021-06-09,19:00-20:00,1338,0,0
2021-06-09,20:00-21:00,229,0,0
2021-06-09,21:00-22:00,422,0,0
2021-06-09,22:00-23:00,305,0,0
2021-06-09,23:00-00:00,257,0,0

2021-06-10,00:00-01:00,699,0,0
2021-06-10,01:00-02:00,156,0,0
2021-06-10,02:00-03:00,86,0,0
2021-06-10,03:00-04:00,103,0,0
2021-06-10,04:00-05:00,158,0,0
2021-06-10,05:00-06:00,81,0,0
2021-06-10,06:00-07:00,182,0,0
2021-06-10,07:00-08:00,706,0,0
2021-06-10,08:00-09:00,83,0,0
2021-06-10,09:00-10:00,131,0,0
2021-06-10,10:00-11:00,1651,0,0
2021-06-10,11:00-12:00,505,0,0
2021-06-10,12:00-13:00,286,0,0
2021-06-10,13:00-14:00,722,0,0
2021-06-10,14:00-15:00,500,0,0
2021-06-10,15:00-16:00,212,0,0
2021-06-10,16:00-17:00,130,0,0
2021-06-10,17:00-18:00,174,0,0
2021-06-10,18:00-19:00,701,0,0
2021-06-10,19:00-20:00,227,0,0
2021-06-10,20:00-21:00,189,0,0
2021-06-10,21:00-22:00,308,0,0
2021-06-10,22:00-23:00,1309,0,0
2021-06-10,23:00-00:00,288,0,0

2021-06-11,00:00-01:00,271,0,0
2021-06-11,01:00-02:00,145,0,0
2021-06-11,02:00-03:00,82,0,0
2021-06-11,03:00-04:00,589,0,0
2021-06-11,04:00-05:00,102,0,0
2021-06-11,05:00-06:00,86,0,0
2021-06-11,06:00-07:00,160,0,0
2021-06-11,07:00-08:00,76,0,0
2021-06-11,08:00-09:00,172,0,0
2021-06-11,09:00-10:00,195,0,0
2021-06-11,10:00-11:00,238,0,0
2021-06-11,11:00-12:00,258,0,0
2021-06-11,12:00-13:00,249,0,0
2021-06-11,13:00-14:00,646,0,0
2021-06-11,14:00-15:00,273,0,0
2021-06-11,15:00-16:00,288,0,0
2021-06-11,16:00-17:00,218,0,0
2021-06-11,17:00-18:00,289,0,0
2021-06-11,18:00-19:00,345,0,0
2021-06-11,19:00-20:00,348,0,0
2021-06-11,20:00-21:00,745,0,0
2021-06-11,21:00-22:00,955,0,0
2021-06-11,22:00-23:00,941,0,0
2021-06-11,23:00-00:00,1088,0,0

2021-06-12,00:00-01:00,663,0,0
2021-06-12,01:00-02:00,89,0,0
2021-06-12,02:00-03:00,91,0,0
2021-06-12,03:00-04:00,170,0,0
2021-06-12,04:00-05:00,166,0,0
2021-06-12,05:00-06:00,137,0,0
2021-06-12,06:00-07:00,75,0,0
2021-06-12,07:00-08:00,107,0,0
2021-06-12,08:00-09:00,203,0,0
2021-06-12,09:00-10:00,860,0,0
2021-06-12,10:00-11:00,168,0,0
2021-06-12,11:00-12:00,161,0,0
